date,base_price,unit
2021-02-03,0.213,US$/Wp
2021-02-03,0.26,US$/Wp
2021-02-03,0.225,US$/Wp
2021-02-03,0.26,US$/Wp
2021-02-03,0.225,US$/Wp
2021-02-10,0.177,US$/Wp
2021-02-10,0.213,US$/Wp
2021-02-10,0.26,US$/Wp
2021-02-10,0.225,US$/Wp
2021-02-10,0.26,US$/Wp
2021-02-10,0.225,US$/Wp
2021-02-17,0.177,US$/Wp
2021-02-17,0.213,US$/Wp
2021-02-17,0.26,US$/Wp
2021-02-17,0.225,US$/Wp
2021-02-17,0.26,US$/Wp
2021-02-17,0.225,US$/Wp
2021-02-24,0.177,US$/Wp
2021-02-24,0.213,US$/Wp
2021-02-24,0.26,US$/Wp
2021-02-24,0.225,US$/Wp
2021-02-24,0.26,US$/Wp
2021-02-24,0.225,US$/Wp
2021-03-03,0.182,US$/Wp
2021-03-03,0.215,US$/Wp
2021-03-03,0.26,US$/Wp
2021-03-03,0.225,US$/Wp
2021-03-03,0.26,US$/Wp
2021-03-03,0.225,US$/Wp
2021-03-10,0.18,US$/Wp
2021-03-10,0.216,US$/Wp
2021-03-10,0.26,US$/Wp
2021-03-10,0.226,US$/Wp
2021-03-10,0.26,US$/Wp
2021-03-10,0.226,US$/Wp
2021-03-17,0.178,US$/Wp
2021-03-17,0.217,US$/Wp
2021-03-17,0.26,US$/Wp
2021-03-17,0.227,US$/Wp
2021-03-17,0.26,US$/Wp
2021-03-17,0.227,US$/Wp
2021-03-24,0.177,US$/Wp
2021-03-24,0.218,US$/Wp
2021-03-24,0.26,US$/Wp
2021-03-24,0.23,US$/Wp
2021-03-24,0.26,US$/Wp
2021-03-24,0.23,US$/Wp
2021-03-31,0.176,US$/Wp
2021-03-31,0.218,US$/Wp
2021-03-31,0.26,US$/Wp
2021-03-31,0.23,US$/Wp
2021-03-31,0.26,US$/Wp
2021-03-31,0.23,US$/Wp
2021-04-07,0.175,US$/Wp
2021-04-07,0.218,US$/Wp
2021-04-07,0.26,US$/Wp
2021-04-07,0.23,US$/Wp
2021-04-07,0.26,US$/Wp
2021-04-07,0.23,US$/Wp
2021-04-14,0.175,US$/Wp
2021-04-14,0.218,US$/Wp
2021-04-14,0.26,US$/Wp
2021-04-14,0.23,US$/Wp
2021-04-14,0.26,US$/Wp
2021-04-14,0.23,US$/Wp
2021-04-21,0.181,US$/Wp
2021-04-21,0.218,US$/Wp
2021-04-21,0.27,US$/Wp
2021-04-21,0.23,US$/Wp
2021-04-21,0.27,US$/Wp
2021-04-21,0.23,US$/Wp
2021-04-28,0.181,US$/Wp
2021-04-28,0.218,US$/Wp
2021-04-28,0.27,US$/Wp
2021-04-28,0.23,US$/Wp
2021-04-28,0.27,US$/Wp
2021-04-28,0.23,US$/Wp
2021-05-05,0.181,US$/Wp
2021-05-05,0.27,US$/Wp
2021-05-05,0.27,US$/Wp
2021-05-05,0.218,US$/Wp
2021-05-05,0.226,US$/Wp
2021-05-05,0.23,US$/Wp
2021-05-05,0.23,US$/Wp
2021-05-12,0.192,US$/Wp
2021-05-12,0.27,US$/Wp
2021-05-12,0.27,US$/Wp
2021-05-12,0.22,US$/Wp
2021-05-12,0.228,US$/Wp
2021-05-12,0.233,US$/Wp
2021-05-12,0.233,US$/Wp
2021-05-19,0.197,US$/Wp
2021-05-19,0.27,US$/Wp
2021-05-19,0.27,US$/Wp
2021-05-19,0.223,US$/Wp
2021-05-19,0.233,US$/Wp
2021-05-19,0.237,US$/Wp
2021-05-19,0.237,US$/Wp
2021-05-26,0.202,US$/Wp
2021-05-26,0.28,US$/Wp
2021-05-26,0.28,US$/Wp
2021-05-26,0.227,US$/Wp
2021-05-26,0.236,US$/Wp
2021-05-26,0.24,US$/Wp
2021-05-26,0.24,US$/Wp
2021-06-02,0.203,US$/Wp
2021-06-02,0.28,US$/Wp
2021-06-02,0.28,US$/Wp
2021-06-02,0.233,US$/Wp
2021-06-02,0.242,US$/Wp
2021-06-02,0.245,US$/Wp
2021-06-02,0.245,US$/Wp
2021-06-09,0.202,US$/Wp
2021-06-09,0.28,US$/Wp
2021-06-09,0.28,US$/Wp
2021-06-09,0.237,US$/Wp
2021-06-09,0.245,US$/Wp
2021-06-09,0.248,US$/Wp
2021-06-09,0.248,US$/Wp
2021-06-16,0.202,US$/Wp
2021-06-16,0.28,US$/Wp
2021-06-16,0.28,US$/Wp
2021-06-16,0.24,US$/Wp
2021-06-16,0.245,US$/Wp
2021-06-16,0.248,US$/Wp
2021-06-16,0.248,US$/Wp
2021-06-23,0.198,US$/Wp
2021-06-23,0.27,US$/Wp
2021-06-23,0.27,US$/Wp
2021-06-23,0.24,US$/Wp
2021-06-23,0.245,US$/Wp
2021-06-23,0.248,US$/Wp
2021-06-23,0.248,US$/Wp
2021-06-30,0.197,US$/Wp
2021-06-30,0.27,US$/Wp
2021-06-30,0.27,US$/Wp
2021-06-30,0.24,US$/Wp
2021-06-30,0.245,US$/Wp
2021-06-30,0.248,US$/Wp
2021-06-30,0.248,US$/Wp
2021-07-07,0.196,US$/Wp
2021-07-07,0.27,US$/Wp
2021-07-07,0.27,US$/Wp
2021-07-07,0.24,US$/Wp
2021-07-07,0.245,US$/Wp
2021-07-07,0.248,US$/Wp
2021-07-07,0.248,US$/Wp
2021-07-14,0.195,US$/Wp
2021-07-14,0.27,US$/Wp
2021-07-14,0.27,US$/Wp
2021-07-14,0.24,US$/Wp
2021-07-14,0.245,US$/Wp
2021-07-14,0.248,US$/Wp
2021-07-14,0.248,US$/Wp
2021-07-21,0.194,US$/Wp
2021-07-21,0.27,US$/Wp
2021-07-21,0.27,US$/Wp
2021-07-21,0.24,US$/Wp
2021-07-21,0.245,US$/Wp
2021-07-21,0.248,US$/Wp
2021-07-21,0.248,US$/Wp
2021-07-28,0.193,US$/Wp
2021-07-28,0.27,US$/Wp
2021-07-28,0.27,US$/Wp
2021-07-28,0.24,US$/Wp
2021-07-28,0.245,US$/Wp
2021-07-28,0.248,US$/Wp
2021-07-28,0.248,US$/Wp
2021-08-04,0.193,US$/Wp
2021-08-04,0.27,US$/Wp
2021-08-04,0.27,US$/Wp
2021-08-04,0.24,US$/Wp
2021-08-04,0.24,US$/Wp
2021-08-04,0.245,US$/Wp
2021-08-04,0.245,US$/Wp
2021-08-11,0.193,US$/Wp
2021-08-11,0.27,US$/Wp
2021-08-11,0.27,US$/Wp
2021-08-11,0.24,US$/Wp
2021-08-11,0.24,US$/Wp
2021-08-11,0.245,US$/Wp
2021-08-11,0.245,US$/Wp
2021-08-11,0.193,US$/Wp
2021-08-11,0.27,US$/Wp
2021-08-11,0.27,US$/Wp
2021-08-11,0.24,US$/Wp
2021-08-11,0.24,US$/Wp
2021-08-11,0.245,US$/Wp
2021-08-11,0.245,US$/Wp
2021-08-18,0.193,US$/Wp
2021-08-18,0.27,US$/Wp
2021-08-18,0.27,US$/Wp
2021-08-18,0.24,US$/Wp
2021-08-18,0.24,US$/Wp
2021-08-18,0.245,US$/Wp
2021-08-18,0.245,US$/Wp
2021-08-25,0.193,US$/Wp
2021-08-25,0.27,US$/Wp
2021-08-25,0.27,US$/Wp
2021-08-25,0.24,US$/Wp
2021-08-25,0.24,US$/Wp
2021-08-25,0.245,US$/Wp
2021-08-25,0.245,US$/Wp
2021-09-01,0.193,US$/Wp
2021-09-01,0.27,US$/Wp
2021-09-01,0.27,US$/Wp
2021-09-01,0.24,US$/Wp
2021-09-01,0.24,US$/Wp
2021-09-01,0.245,US$/Wp
2021-09-01,0.245,US$/Wp
2021-09-08,0.193,US$/Wp
2021-09-08,0.28,US$/Wp
2021-09-08,0.28,US$/Wp
2021-09-08,0.24,US$/Wp
2021-09-08,0.24,US$/Wp
2021-09-08,0.245,US$/Wp
2021-09-08,0.245,US$/Wp
2021-09-15,0.193,US$/Wp
2021-09-15,0.28,US$/Wp
2021-09-15,0.28,US$/Wp
2021-09-15,0.24,US$/Wp
2021-09-15,0.242,US$/Wp
2021-09-15,0.245,US$/Wp
2021-09-15,0.245,US$/Wp
2021-09-22,0.193,US$/Wp
