Territory,Year,Scenario,Connection,Type,Capacity(MW),AC/DC,Estimated/Confirmed,Installed/Decomissioned
Albania,2023,Historical Primary,Total,Annual,1,DC,Estimated,Installed
Albania,2023,Historical Primary,Distributed,Annual,1,DC,Estimated,Installed
Albania,2024,Historical Primary,Total,Annual,100,DC,Confirmed,Installed
Albania,2024,Historical Primary,Distributed,Annual,50,DC,Estimated,Installed
Albania,2024,Historical Primary,Centralised,Annual,50,DC,Estimated,Installed
Algeria,2009,Historical Primary,Total,Annual,4.1,DC,Confirmed,Installed
Algeria,2009,Historical Primary,Distributed,Annual,1.845,DC,Confirmed,Installed
Algeria,2009,Historical Primary,Centralised,Annual,1.845,DC,Confirmed,Installed
Algeria,2009,Historical Primary,Off-grid,Annual,0.41,DC,Confirmed,Installed
Algeria,2010,Historical Primary,Total,Annual,3,DC,Confirmed,Installed
Algeria,2010,Historical Primary,Distributed,Annual,1.35,DC,Confirmed,Installed
Algeria,2010,Historical Primary,Centralised,Annual,1.35,DC,Confirmed,Installed
Algeria,2010,Historical Primary,Off-grid,Annual,0.3,DC,Confirmed,Installed
Algeria,2011,Historical Primary,Total,Annual,8.1,DC,Confirmed,Installed
Algeria,2011,Historical Primary,Distributed,Annual,3.645,DC,Confirmed,Installed
Algeria,2011,Historical Primary,Centralised,Annual,3.645,DC,Confirmed,Installed
Algeria,2011,Historical Primary,Off-grid,Annual,0.81,DC,Confirmed,Installed
Algeria,2012,Historical Primary,Total,Annual,2.4,DC,Confirmed,Installed
Algeria,2012,Historical Primary,Distributed,Annual,1.08,DC,Confirmed,Installed
Algeria,2012,Historical Primary,Centralised,Annual,1.08,DC,Confirmed,Installed
Algeria,2012,Historical Primary,Off-grid,Annual,0.24,DC,Confirmed,Installed
Algeria,2014,Historical Primary,Total,Annual,60.4,DC,Confirmed,Installed
Algeria,2014,Historical Primary,Distributed,Annual,27.18,DC,Confirmed,Installed
Algeria,2014,Historical Primary,Centralised,Annual,27.18,DC,Confirmed,Installed
Algeria,2014,Historical Primary,Off-grid,Annual,6.04,DC,Confirmed,Installed
Algeria,2015,Historical Primary,Total,Annual,190,DC,Confirmed,Installed
Algeria,2015,Historical Primary,Distributed,Annual,88.15,DC,Confirmed,Installed
Algeria,2015,Historical Primary,Centralised,Annual,88.15,DC,Confirmed,Installed
Algeria,2015,Historical Primary,Off-grid,Annual,13.7,DC,Confirmed,Installed
Algeria,2016,Historical Primary,Total,Annual,54,DC,Confirmed,Installed
Algeria,2016,Historical Primary,Distributed,Annual,24.3,DC,Confirmed,Installed
Algeria,2016,Historical Primary,Centralised,Annual,24.3,DC,Confirmed,Installed
Algeria,2016,Historical Primary,Off-grid,Annual,5.4,DC,Confirmed,Installed
Algeria,2017,Historical Primary,Total,Annual,97,DC,Confirmed,Installed
Algeria,2017,Historical Primary,Distributed,Annual,41,DC,Confirmed,Installed
Algeria,2017,Historical Primary,Centralised,Annual,41,DC,Confirmed,Installed
Algeria,2017,Historical Primary,Off-grid,Annual,15,DC,Confirmed,Installed
Algeria,2018,Historical Primary,Total,Annual,100,DC,Confirmed,Installed
Algeria,2018,Historical Primary,Distributed,Annual,50,DC,Estimated,Installed
Algeria,2018,Historical Primary,Centralised,Annual,50,DC,Estimated,Installed
Algeria,2022,Historical Primary,Total,Annual,59,DC,Confirmed,Installed
Algeria,2022,Historical Primary,Distributed,Annual,29.5,DC,Estimated,Installed
Algeria,2022,Historical Primary,Centralised,Annual,29.5,DC,Estimated,Installed
Algeria,2023,Historical Primary,Total,Annual,8,DC,Confirmed,Installed
Algeria,2023,Historical Primary,Distributed,Annual,4,DC,Confirmed,Installed
Algeria,2023,Historical Primary,Centralised,Annual,4,DC,Confirmed,Installed
Algeria,2024,Historical Primary,Total,Annual,8,DC,Estimated,Installed
Algeria,2024,Historical Primary,Distributed,Annual,4,DC,Estimated,Installed
Algeria,2024,Historical Primary,Centralised,Annual,4,DC,Estimated,Installed
Argentina,2011,Historical Primary,Total,Annual,1.02,DC,Confirmed,Installed
Argentina,2011,Historical Primary,Centralised,Annual,0.9,DC,Confirmed,Installed
Argentina,2011,Historical Primary,Off-grid,Annual,0.12,DC,Confirmed,Installed
Argentina,2012,Historical Primary,Total,Annual,5,DC,Confirmed,Installed
Argentina,2012,Historical Primary,Centralised,Annual,4.5,DC,Confirmed,Installed
Argentina,2012,Historical Primary,Off-grid,Annual,0.5,DC,Confirmed,Installed
Argentina,2013,Historical Primary,Total,Annual,2,DC,Confirmed,Installed
Argentina,2013,Historical Primary,Centralised,Annual,1.8,DC,Confirmed,Installed
Argentina,2013,Historical Primary,Off-grid,Annual,0.2,DC,Confirmed,Installed
Argentina,2014,Historical Primary,Total,Annual,1,DC,Confirmed,Installed
Argentina,2014,Historical Primary,Centralised,Annual,0.9,DC,Confirmed,Installed
Argentina,2014,Historical Primary,Off-grid,Annual,0.1,DC,Confirmed,Installed
Argentina,2015,Historical Primary,Total,Annual,2,DC,Confirmed,Installed
Argentina,2015,Historical Primary,Centralised,Annual,1.8,DC,Confirmed,Installed
Argentina,2015,Historical Primary,Off-grid,Annual,0.2,DC,Confirmed,Installed
Argentina,2016,Historical Primary,Total,Annual,0.4,DC,Confirmed,Installed
Argentina,2016,Historical Primary,Centralised,Annual,0.38,DC,Confirmed,Installed
Argentina,2016,Historical Primary,Off-grid,Annual,0.02,DC,Confirmed,Installed
Argentina,2017,Historical Primary,Total,Annual,0.6,DC,Confirmed,Installed
Argentina,2017,Historical Primary,Centralised,Annual,0.5,DC,Confirmed,Installed
Argentina,2017,Historical Primary,Off-grid,Annual,0.1,DC,Confirmed,Installed
Argentina,2018,Historical Primary,Total,Annual,179,DC,Confirmed,Installed
Argentina,2018,Historical Primary,Centralised,Annual,179,DC,Confirmed,Installed
Argentina,2019,Historical Primary,Total,Annual,248,DC,Confirmed,Installed
Argentina,2019,Historical Primary,Distributed,Annual,8.184,DC,Confirmed,Installed
Argentina,2019,Historical Primary,Centralised,Annual,239.816,DC,Confirmed,Installed
Argentina,2020,Historical Primary,Total,Annual,320,DC,Confirmed,Installed
Argentina,2020,Historical Primary,Centralised,Annual,320,DC,Confirmed,Installed
Argentina,2021,Historical Primary,Total,Annual,200,DC,Confirmed,Installed
Argentina,2021,Historical Primary,Distributed,Annual,20,DC,Confirmed,Installed
Argentina,2021,Historical Primary,Centralised,Annual,180,DC,Confirmed,Installed
Argentina,2022,Historical Primary,Total,Annual,200,DC,Confirmed,Installed
Argentina,2022,Historical Primary,Distributed,Annual,20,DC,Confirmed,Installed
Argentina,2022,Historical Primary,Centralised,Annual,180,DC,Confirmed,Installed
Argentina,2023,Historical Primary,Total,Annual,262,DC,Confirmed,Installed
Argentina,2023,Historical Primary,Distributed,Annual,131,DC,Confirmed,Installed
Argentina,2023,Historical Primary,Centralised,Annual,131,DC,Confirmed,Installed
Argentina,2024,Historical Primary,Total,Annual,307,DC,Confirmed,Installed
Argentina,2024,Historical Primary,Distributed,Annual,28,DC,Confirmed,Installed
Argentina,2024,Historical Primary,Centralised,Annual,279,DC,Confirmed,Installed
Australia,1992,Historical Primary,Total,Annual,7.3,DC,Confirmed,Installed
Australia,1992,Historical Primary,Off-grid,Annual,7.3,DC,Confirmed,Installed
Australia,1993,Historical Primary,Total,Annual,1.6,DC,Confirmed,Installed
Australia,1993,Historical Primary,Off-grid,Annual,1.6,DC,Confirmed,Installed
Australia,1994,Historical Primary,Total,Annual,1.8,DC,Confirmed,Installed
Australia,1994,Historical Primary,Off-grid,Annual,1.8,DC,Confirmed,Installed
Australia,1995,Historical Primary,Total,Annual,2,DC,Confirmed,Installed
Australia,1995,Historical Primary,Off-grid,Annual,2,DC,Confirmed,Installed
Australia,1996,Historical Primary,Total,Annual,3,DC,Confirmed,Installed
Australia,1996,Historical Primary,Distributed,Annual,0.1,DC,Confirmed,Installed
Australia,1996,Historical Primary,Off-grid,Annual,2.9,DC,Confirmed,Installed
Australia,1997,Historical Primary,Total,Annual,3,DC,Confirmed,Installed
Australia,1997,Historical Primary,Distributed,Annual,0.1,DC,Confirmed,Installed
Australia,1997,Historical Primary,Centralised,Annual,0.2,DC,Confirmed,Installed
Australia,1997,Historical Primary,Off-grid,Annual,2.7,DC,Confirmed,Installed
Australia,1998,Historical Primary,Total,Annual,3.9,DC,Confirmed,Installed
Australia,1998,Historical Primary,Distributed,Annual,0.7,DC,Confirmed,Installed
Australia,1998,Historical Primary,Centralised,Annual,0.3,DC,Confirmed,Installed
Australia,1998,Historical Primary,Off-grid,Annual,2.9,DC,Confirmed,Installed
Australia,1999,Historical Primary,Total,Annual,2.7,DC,Confirmed,Installed
Australia,1999,Historical Primary,Distributed,Annual,0.6,DC,Confirmed,Installed
Australia,1999,Historical Primary,Off-grid,Annual,2.1,DC,Confirmed,Installed
Australia,2000,Historical Primary,Total,Annual,3.9,DC,Confirmed,Installed
Australia,2000,Historical Primary,Distributed,Annual,0.9,DC,Confirmed,Installed
Australia,2000,Historical Primary,Off-grid,Annual,3,DC,Confirmed,Installed
Australia,2001,Historical Primary,Total,Annual,4.3,DC,Confirmed,Installed
Australia,2001,Historical Primary,Distributed,Annual,0.4,DC,Confirmed,Installed
Australia,2001,Historical Primary,Off-grid,Annual,3.9,DC,Confirmed,Installed
Australia,2002,Historical Primary,Total,Annual,5.6,DC,Confirmed,Installed
Australia,2002,Historical Primary,Distributed,Annual,0.6,DC,Confirmed,Installed
Australia,2002,Historical Primary,Off-grid,Annual,5,DC,Confirmed,Installed
Australia,2003,Historical Primary,Total,Annual,6.5,DC,Confirmed,Installed
Australia,2003,Historical Primary,Distributed,Annual,1.2,DC,Confirmed,Installed
Australia,2003,Historical Primary,Centralised,Annual,0.2,DC,Confirmed,Installed
Australia,2003,Historical Primary,Off-grid,Annual,5.1,DC,Confirmed,Installed
Australia,2004,Historical Primary,Total,Annual,6.7,DC,Confirmed,Installed
Australia,2004,Historical Primary,Distributed,Annual,0.8,DC,Confirmed,Installed
Australia,2004,Historical Primary,Off-grid,Annual,5.9,DC,Confirmed,Installed
Australia,2005,Historical Primary,Total,Annual,8.4,DC,Confirmed,Installed
Australia,2005,Historical Primary,Distributed,Annual,1.5,DC,Confirmed,Installed
Australia,2005,Historical Primary,Centralised,Annual,0.1,DC,Confirmed,Installed
Australia,2005,Historical Primary,Off-grid,Annual,6.8,DC,Confirmed,Installed
Australia,2006,Historical Primary,Total,Annual,9.6,DC,Confirmed,Installed
Australia,2006,Historical Primary,Distributed,Annual,2.1,DC,Confirmed,Installed
Australia,2006,Historical Primary,Off-grid,Annual,7.5,DC,Confirmed,Installed
Australia,2007,Historical Primary,Total,Annual,12.1,DC,Confirmed,Installed
Australia,2007,Historical Primary,Distributed,Annual,6,DC,Confirmed,Installed
Australia,2007,Historical Primary,Centralised,Annual,0.2,DC,Confirmed,Installed
Australia,2007,Historical Primary,Off-grid,Annual,5.9,DC,Confirmed,Installed
Australia,2008,Historical Primary,Total,Annual,22.1,DC,Confirmed,Installed
Australia,2008,Historical Primary,Distributed,Annual,14.9,DC,Confirmed,Installed
Australia,2008,Historical Primary,Centralised,Annual,0.3,DC,Confirmed,Installed
Australia,2008,Historical Primary,Off-grid,Annual,6.9,DC,Confirmed,Installed
Australia,2009,Historical Primary,Total,Annual,82.9,DC,Confirmed,Installed
Australia,2009,Historical Primary,Distributed,Annual,71.1,DC,Confirmed,Installed
Australia,2009,Historical Primary,Centralised,Annual,1.2,DC,Confirmed,Installed
Australia,2009,Historical Primary,Off-grid,Annual,10.6,DC,Confirmed,Installed
Australia,2010,Historical Primary,Total,Annual,383.2,DC,Confirmed,Installed
Australia,2010,Historical Primary,Distributed,Annual,378,DC,Confirmed,Installed
Australia,2010,Historical Primary,Centralised,Annual,1.3,DC,Confirmed,Installed
Australia,2010,Historical Primary,Off-grid,Annual,3.9,DC,Confirmed,Installed
Australia,2011,Historical Primary,Total,Annual,805.8,DC,Confirmed,Installed
Australia,2011,Historical Primary,Distributed,Annual,789,DC,Confirmed,Installed
Australia,2011,Historical Primary,Centralised,Annual,3.6,DC,Confirmed,Installed
Australia,2011,Historical Primary,Off-grid,Annual,13.2,DC,Confirmed,Installed
Australia,2012,Historical Primary,Total,Annual,1039.1,DC,Confirmed,Installed
Australia,2012,Historical Primary,Distributed,Annual,1008,DC,Confirmed,Installed
Australia,2012,Historical Primary,Centralised,Annual,14.1,DC,Confirmed,Installed
Australia,2012,Historical Primary,Off-grid,Annual,17,DC,Confirmed,Installed
Australia,2013,Historical Primary,Total,Annual,810.5,DC,Confirmed,Installed
Australia,2013,Historical Primary,Distributed,Annual,794,DC,Confirmed,Installed
Australia,2013,Historical Primary,Centralised,Annual,2.5,DC,Confirmed,Installed
Australia,2013,Historical Primary,Off-grid,Annual,14,DC,Confirmed,Installed
Australia,2014,Historical Primary,Total,Annual,865.5,DC,Confirmed,Installed
Australia,2014,Historical Primary,Distributed,Annual,805,DC,Confirmed,Installed
Australia,2014,Historical Primary,Centralised,Annual,44.5,DC,Confirmed,Installed
Australia,2014,Historical Primary,Off-grid,Annual,16,DC,Confirmed,Installed
Australia,2015,Historical Primary,Total,Annual,1017.5,DC,Confirmed,Installed
Australia,2015,Historical Primary,Distributed,Annual,705,DC,Confirmed,Installed
Australia,2015,Historical Primary,Centralised,Annual,287.5,DC,Confirmed,Installed
Australia,2015,Historical Primary,Off-grid,Annual,25,DC,Confirmed,Installed
Australia,2016,Historical Primary,Total,Annual,876,DC,Confirmed,Installed
Australia,2016,Historical Primary,Distributed,Annual,749,DC,Confirmed,Installed
Australia,2016,Historical Primary,Centralised,Annual,90,DC,Confirmed,Installed
Australia,2016,Historical Primary,Off-grid,Annual,37,DC,Confirmed,Installed
Australia,2017,Historical Primary,Total,Annual,1147,DC,Confirmed,Installed
Australia,2017,Historical Primary,Distributed,Annual,816,DC,Confirmed,Installed
Australia,2017,Historical Primary,Centralised,Annual,294,DC,Confirmed,Installed
Australia,2017,Historical Primary,Off-grid,Annual,37,DC,Confirmed,Installed
Australia,2018,Historical Primary,Total,Annual,4454,DC,Confirmed,Installed
Australia,2018,Historical Primary,Distributed,Annual,1885,DC,Confirmed,Installed
Australia,2018,Historical Primary,Centralised,Annual,2532,DC,Confirmed,Installed
Australia,2018,Historical Primary,Off-grid,Annual,37,DC,Confirmed,Installed
Australia,2019,Historical Primary,Total,Annual,4813,DC,Confirmed,Installed
Australia,2019,Historical Primary,Distributed,Annual,2365,DC,Confirmed,Installed
Australia,2019,Historical Primary,Centralised,Annual,2429,DC,Confirmed,Installed
Australia,2019,Historical Primary,Off-grid,Annual,19,DC,Confirmed,Installed
Australia,2020,Historical Primary,Total,Annual,4692,DC,Confirmed,Installed
Australia,2020,Historical Primary,Distributed,Annual,3081,DC,Confirmed,Installed
Australia,2020,Historical Primary,Centralised,Annual,1584,DC,Confirmed,Installed
Australia,2020,Historical Primary,Off-grid,Annual,27,DC,Confirmed,Installed
Australia,2021,Historical Primary,Total,Annual,5038,DC,Confirmed,Installed
Australia,2021,Historical Primary,Distributed,Annual,3284,DC,Confirmed,Installed
Australia,2021,Historical Primary,Centralised,Annual,1723,DC,Confirmed,Installed
Australia,2021,Historical Primary,Off-grid,Annual,31,DC,Confirmed,Installed
Australia,2022,Historical Primary,Total,Annual,4239.3,DC,Confirmed,Installed
Australia,2022,Historical Primary,Distributed,Annual,2828.6,DC,Confirmed,Installed
Australia,2022,Historical Primary,Centralised,Annual,1376.7,DC,Confirmed,Installed
Australia,2022,Historical Primary,Off-grid,Annual,34,DC,Confirmed,Installed
Australia,2023,Historical Primary,Total,Annual,4153.15,DC,Confirmed,Installed
Australia,2023,Historical Primary,Distributed,Annual,3145,DC,Confirmed,Installed
Australia,2023,Historical Primary,Centralised,Annual,971.5,DC,Confirmed,Installed
Australia,2023,Historical Primary,Off-grid,Annual,36.65,DC,Confirmed,Installed
Australia,2024,Historical Primary,Total,Annual,5289,DC,Confirmed,Installed
Australia,2024,Historical Primary,Distributed,Annual,3210,DC,Confirmed,Installed
Australia,2024,Historical Primary,Centralised,Annual,2040,DC,Confirmed,Installed
Australia,2024,Historical Primary,Off-grid,Annual,39,DC,Confirmed,Installed
Austria,1992,Historical Primary,Total,Annual,0.525,DC,Confirmed,Installed
Austria,1992,Historical Primary,Distributed,Annual,0.187,DC,Confirmed,Installed
Austria,1992,Historical Primary,Off-grid,Annual,0.338,DC,Confirmed,Installed
Austria,1993,Historical Primary,Total,Annual,0.244,DC,Confirmed,Installed
Austria,1993,Historical Primary,Distributed,Annual,0.159,DC,Confirmed,Installed
Austria,1993,Historical Primary,Off-grid,Annual,0.085,DC,Confirmed,Installed
Austria,1994,Historical Primary,Total,Annual,0.274,DC,Confirmed,Installed
Austria,1994,Historical Primary,Distributed,Annual,0.107,DC,Confirmed,Installed
Austria,1994,Historical Primary,Off-grid,Annual,0.167,DC,Confirmed,Installed
Austria,1995,Historical Primary,Total,Annual,0.298,DC,Confirmed,Installed
Austria,1995,Historical Primary,Distributed,Annual,0.133,DC,Confirmed,Installed
Austria,1995,Historical Primary,Off-grid,Annual,0.165,DC,Confirmed,Installed
Austria,1996,Historical Primary,Total,Annual,0.378,DC,Confirmed,Installed
Austria,1996,Historical Primary,Distributed,Annual,0.245,DC,Confirmed,Installed
Austria,1996,Historical Primary,Off-grid,Annual,0.133,DC,Confirmed,Installed
Austria,1997,Historical Primary,Total,Annual,0.469,DC,Confirmed,Installed
Austria,1997,Historical Primary,Distributed,Annual,0.365,DC,Confirmed,Installed
Austria,1997,Historical Primary,Off-grid,Annual,0.104,DC,Confirmed,Installed
Austria,1998,Historical Primary,Total,Annual,0.653,DC,Confirmed,Installed
Austria,1998,Historical Primary,Distributed,Annual,0.452,DC,Confirmed,Installed
Austria,1998,Historical Primary,Off-grid,Annual,0.201,DC,Confirmed,Installed
Austria,1999,Historical Primary,Total,Annual,0.741,DC,Confirmed,Installed
Austria,1999,Historical Primary,Distributed,Annual,0.541,DC,Confirmed,Installed
Austria,1999,Historical Primary,Off-grid,Annual,0.2,DC,Confirmed,Installed
Austria,2000,Historical Primary,Total,Annual,1.286,DC,Confirmed,Installed
Austria,2000,Historical Primary,Distributed,Annual,1.03,DC,Confirmed,Installed
Austria,2000,Historical Primary,Off-grid,Annual,0.256,DC,Confirmed,Installed
Austria,2001,Historical Primary,Total,Annual,1.23,DC,Confirmed,Installed
Austria,2001,Historical Primary,Distributed,Annual,1.044,DC,Confirmed,Installed
Austria,2001,Historical Primary,Off-grid,Annual,0.186,DC,Confirmed,Installed
Austria,2002,Historical Primary,Total,Annual,4.221,DC,Confirmed,Installed
Austria,2002,Historical Primary,Distributed,Annual,4.094,DC,Confirmed,Installed
Austria,2002,Historical Primary,Off-grid,Annual,0.127,DC,Confirmed,Installed
Austria,2003,Historical Primary,Total,Annual,6.472,DC,Confirmed,Installed
Austria,2003,Historical Primary,Distributed,Annual,6.303,DC,Confirmed,Installed
Austria,2003,Historical Primary,Off-grid,Annual,0.169,DC,Confirmed,Installed
Austria,2004,Historical Primary,Total,Annual,4.269,DC,Confirmed,Installed
Austria,2004,Historical Primary,Distributed,Annual,3.755,DC,Confirmed,Installed
Austria,2004,Historical Primary,Off-grid,Annual,0.514,DC,Confirmed,Installed
Austria,2005,Historical Primary,Total,Annual,2.961,DC,Confirmed,Installed
Austria,2005,Historical Primary,Distributed,Annual,2.711,DC,Confirmed,Installed
Austria,2005,Historical Primary,Off-grid,Annual,0.25,DC,Confirmed,Installed
Austria,2006,Historical Primary,Total,Annual,1.564,DC,Confirmed,Installed
Austria,2006,Historical Primary,Distributed,Annual,1.29,DC,Confirmed,Installed
Austria,2006,Historical Primary,Off-grid,Annual,0.274,DC,Confirmed,Installed
Austria,2007,Historical Primary,Total,Annual,2.116,DC,Confirmed,Installed
Austria,2007,Historical Primary,Distributed,Annual,2.061,DC,Confirmed,Installed
Austria,2007,Historical Primary,Off-grid,Annual,0.055,DC,Confirmed,Installed
Austria,2008,Historical Primary,Total,Annual,4.686,DC,Confirmed,Installed
Austria,2008,Historical Primary,Distributed,Annual,4.553,DC,Confirmed,Installed
Austria,2008,Historical Primary,Off-grid,Annual,0.133,DC,Confirmed,Installed
Austria,2009,Historical Primary,Total,Annual,20.209,DC,Confirmed,Installed
Austria,2009,Historical Primary,Distributed,Annual,19.961,DC,Confirmed,Installed
Austria,2009,Historical Primary,Off-grid,Annual,0.248,DC,Confirmed,Installed
Austria,2010,Historical Primary,Total,Annual,42.902,DC,Confirmed,Installed
Austria,2010,Historical Primary,Distributed,Annual,42.695,DC,Confirmed,Installed
Austria,2010,Historical Primary,Off-grid,Annual,0.207,DC,Confirmed,Installed
Austria,2011,Historical Primary,Total,Annual,91.674,DC,Confirmed,Installed
Austria,2011,Historical Primary,Distributed,Annual,90.984,DC,Confirmed,Installed
Austria,2011,Historical Primary,Off-grid,Annual,0.69,DC,Confirmed,Installed
Austria,2012,Historical Primary,Total,Annual,175.713,DC,Confirmed,Installed
Austria,2012,Historical Primary,Distributed,Annual,175.493,DC,Confirmed,Installed
Austria,2012,Historical Primary,Off-grid,Annual,0.22,DC,Confirmed,Installed
Austria,2013,Historical Primary,Total,Annual,263.089,DC,Confirmed,Installed
Austria,2013,Historical Primary,Distributed,Annual,262.621,DC,Confirmed,Installed
Austria,2013,Historical Primary,Off-grid,Annual,0.468,DC,Confirmed,Installed
Austria,2014,Historical Primary,Total,Annual,159.272,DC,Confirmed,Installed
Austria,2014,Historical Primary,Distributed,Annual,158.973,DC,Confirmed,Installed
Austria,2014,Historical Primary,Off-grid,Annual,0.299,DC,Confirmed,Installed
Austria,2015,Historical Primary,Total,Annual,151.852,DC,Confirmed,Installed
Austria,2015,Historical Primary,Distributed,Annual,151.806,DC,Confirmed,Installed
Austria,2015,Historical Primary,Off-grid,Annual,0.046,DC,Confirmed,Installed
Austria,2016,Historical Primary,Total,Annual,158.918,DC,Confirmed,Installed
Austria,2016,Historical Primary,Distributed,Annual,157.966,DC,Confirmed,Installed
Austria,2016,Historical Primary,Off-grid,Annual,0.952,DC,Confirmed,Installed
Austria,2017,Historical Primary,Total,Annual,172.955,DC,Confirmed,Installed
Austria,2017,Historical Primary,Distributed,Annual,172.479,DC,Confirmed,Installed
Austria,2017,Historical Primary,Off-grid,Annual,0.476,DC,Confirmed,Installed
Austria,2018,Historical Primary,Total,Annual,186.161,DC,Confirmed,Installed
Austria,2018,Historical Primary,Distributed,Annual,177.927,DC,Confirmed,Installed
Austria,2018,Historical Primary,Centralised,Annual,8,DC,Confirmed,Installed
Austria,2018,Historical Primary,Off-grid,Annual,0.234,DC,Confirmed,Installed
Austria,2019,Historical Primary,Total,Annual,246.961,DC,Confirmed,Installed
Austria,2019,Historical Primary,Distributed,Annual,236.361,DC,Confirmed,Installed
Austria,2019,Historical Primary,Centralised,Annual,10.1,DC,Confirmed,Installed
Austria,2019,Historical Primary,Off-grid,Annual,0.5,DC,Confirmed,Installed
Austria,2020,Historical Primary,Total,Annual,340.841,DC,Confirmed,Installed
Austria,2020,Historical Primary,Distributed,Annual,335.941,DC,Confirmed,Installed
Austria,2020,Historical Primary,Centralised,Annual,4.4,DC,Confirmed,Installed
Austria,2020,Historical Primary,Off-grid,Annual,0.5,DC,Confirmed,Installed
Austria,2021,Historical Primary,Total,Annual,739.2,DC,Confirmed,Installed
Austria,2021,Historical Primary,Distributed,Annual,657.7,DC,Confirmed,Installed
Austria,2021,Historical Primary,Centralised,Annual,81,DC,Confirmed,Installed
Austria,2021,Historical Primary,Off-grid,Annual,0.5,DC,Confirmed,Installed
Austria,2022,Historical Primary,Total,Annual,1009.1,DC,Confirmed,Installed
Austria,2022,Historical Primary,Distributed,Annual,857.31,DC,Confirmed,Installed
Austria,2022,Historical Primary,Centralised,Annual,151.29,DC,Confirmed,Installed
Austria,2022,Historical Primary,Off-grid,Annual,0.5,DC,Confirmed,Installed
Austria,2023,Historical Primary,Total,Annual,2603,DC,Confirmed,Installed
Austria,2023,Historical Primary,Distributed,Annual,2294,DC,Confirmed,Installed
Austria,2023,Historical Primary,Centralised,Annual,308,DC,Confirmed,Installed
Austria,2023,Historical Primary,Off-grid,Annual,1,DC,Confirmed,Installed
Austria,2024,Historical Primary,Total,Annual,2509,DC,Confirmed,Installed
Austria,2024,Historical Primary,Distributed,Annual,2183,DC,Confirmed,Installed
Austria,2024,Historical Primary,Centralised,Annual,326,DC,Confirmed,Installed
Austria,2025,Forecast - High,Total,Annual,2200,DC,Confirmed,Installed
Austria,2025,Forecast - High,Distributed,Annual,1760,DC,Confirmed,Installed
Austria,2025,Forecast - High,Centralised,Annual,440,DC,Confirmed,Installed
Austria,2025,Forecast - Low,Total,Annual,1600,DC,Confirmed,Installed
Austria,2025,Forecast - Low,Distributed,Annual,1280,DC,Confirmed,Installed
Austria,2025,Forecast - Low,Centralised,Annual,320,DC,Confirmed,Installed
Austria,2025,Forecast - Most probable,Total,Annual,1800,DC,Confirmed,Installed
Austria,2025,Forecast - Most probable,Distributed,Annual,1440,DC,Confirmed,Installed
Austria,2025,Forecast - Most probable,Centralised,Annual,360,DC,Confirmed,Installed
Austria,2026,Forecast - High,Total,Annual,2250,DC,Confirmed,Installed
Austria,2026,Forecast - High,Distributed,Annual,1575,DC,Confirmed,Installed
Austria,2026,Forecast - High,Centralised,Annual,675,DC,Confirmed,Installed
Austria,2026,Forecast - Low,Total,Annual,1650,DC,Confirmed,Installed
Austria,2026,Forecast - Low,Distributed,Annual,1402.5,DC,Confirmed,Installed
Austria,2026,Forecast - Low,Centralised,Annual,247.5,DC,Confirmed,Installed
Austria,2026,Forecast - Most probable,Total,Annual,1850,DC,Confirmed,Installed
Austria,2026,Forecast - Most probable,Distributed,Annual,1480,DC,Confirmed,Installed
Austria,2026,Forecast - Most probable,Centralised,Annual,370,DC,Confirmed,Installed
Austria,2027,Forecast - High,Centralised,Annual,480,DC,Confirmed,Installed
Austria,2027,Forecast - High,Distributed,Annual,1920,DC,Confirmed,Installed
Austria,2027,Forecast - High,Total,Annual,2400,DC,Confirmed,Installed
Austria,2027,Forecast - Low,Total,Annual,1700,DC,Confirmed,Installed
Austria,2027,Forecast - Low,Distributed,Annual,1360,DC,Confirmed,Installed
Austria,2027,Forecast - Low,Centralised,Annual,340,DC,Confirmed,Installed
Austria,2027,Forecast - Most probable,Total,Annual,1900,DC,Confirmed,Installed
Austria,2027,Forecast - Most probable,Distributed,Annual,1520,DC,Confirmed,Installed
Austria,2027,Forecast - Most probable,Centralised,Annual,380,DC,Confirmed,Installed
Austria,2028,Forecast - High,Total,Annual,2550,DC,Confirmed,Installed
Austria,2028,Forecast - High,Distributed,Annual,2040,DC,Confirmed,Installed
Austria,2028,Forecast - High,Centralised,Annual,510,DC,Confirmed,Installed
Austria,2028,Forecast - Low,Total,Annual,1750,DC,Confirmed,Installed
Austria,2028,Forecast - Low,Distributed,Annual,1400,DC,Confirmed,Installed
Austria,2028,Forecast - Low,Centralised,Annual,350,DC,Confirmed,Installed
Austria,2028,Forecast - Most probable,Total,Annual,1950,DC,Confirmed,Installed
Austria,2028,Forecast - Most probable,Distributed,Annual,1560,DC,Confirmed,Installed
Austria,2028,Forecast - Most probable,Centralised,Annual,390,DC,Confirmed,Installed
Austria,2029,Forecast - High,Total,Annual,2700,DC,Confirmed,Installed
Austria,2029,Forecast - High,Distributed,Annual,2160,DC,Confirmed,Installed
Austria,2029,Forecast - High,Centralised,Annual,540,DC,Confirmed,Installed
Austria,2029,Forecast - Low,Total,Annual,1800,DC,Confirmed,Installed
Austria,2029,Forecast - Low,Distributed,Annual,1440,DC,Confirmed,Installed
Austria,2029,Forecast - Low,Centralised,Annual,360,DC,Confirmed,Installed
Austria,2029,Forecast - Most probable,Total,Annual,2000,DC,Confirmed,Installed
